                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.62067,                0.88845,                0.97769,                 1.6739,             0.00023739,             0.00023739,             0.00023739
                      1,                0.06969,                0.97375,                0.99738,                 1.5817,             0.00045971,             0.00045971,             0.00045971
                      2,                0.02755,                 0.9685,                0.99869,                 1.5748,             0.00066631,             0.00066631,             0.00066631
                      3,                0.01904,                  0.979,                0.99869,                 1.5681,             0.00064331,             0.00064331,             0.00064331
                      4,                  0.016,                0.98031,                0.99738,                 1.5652,             0.00064331,             0.00064331,             0.00064331
                      5,                0.00934,                0.98294,                0.99869,                 1.5646,             0.00061975,             0.00061975,             0.00061975
                      6,                0.00484,                0.98556,                      1,                 1.5611,             0.00059619,             0.00059619,             0.00059619
                      7,                0.00149,                0.99213,                      1,                 1.5571,             0.00057263,             0.00057263,             0.00057263
                      8,                0.00094,                0.99213,                      1,                  1.555,             0.00054907,             0.00054907,             0.00054907
                      9,                 0.0007,                0.99213,                0.99869,                 1.5554,              0.0005255,              0.0005255,              0.0005255
                     10,                0.00113,                0.99081,                      1,                 1.5563,             0.00050194,             0.00050194,             0.00050194
                     11,                0.00054,                0.99213,                      1,                 1.5544,             0.00047838,             0.00047838,             0.00047838
                     12,                0.00021,                 0.9895,                      1,                 1.5546,             0.00045482,             0.00045482,             0.00045482
                     13,                0.00027,                0.99081,                      1,                 1.5547,             0.00043126,             0.00043126,             0.00043126
                     14,                0.00028,                0.99213,                      1,                 1.5544,             0.00040769,             0.00040769,             0.00040769
                     15,                0.00021,                0.99081,                      1,                 1.5546,             0.00038413,             0.00038413,             0.00038413
                     16,                0.00017,                0.99213,                      1,                 1.5541,             0.00036057,             0.00036057,             0.00036057
                     17,                0.00023,                0.99213,                      1,                 1.5538,             0.00033701,             0.00033701,             0.00033701
                     18,                0.00024,                0.99344,                      1,                 1.5542,             0.00031345,             0.00031345,             0.00031345
                     19,                0.00017,                0.99213,                      1,                 1.5547,             0.00028988,             0.00028988,             0.00028988
                     20,                0.00017,                 0.9895,                      1,                 1.5547,             0.00026632,             0.00026632,             0.00026632
                     21,                0.00014,                0.99081,                      1,                 1.5544,             0.00024276,             0.00024276,             0.00024276
                     22,                0.00012,                0.99213,                      1,                 1.5539,              0.0002192,              0.0002192,              0.0002192
                     23,                 0.0001,                0.99213,                      1,                 1.5541,             0.00019564,             0.00019564,             0.00019564
                     24,                0.00014,                 0.9895,                      1,                 1.5544,             0.00017207,             0.00017207,             0.00017207
                     25,                0.00015,                 0.9895,                      1,                 1.5543,             0.00014851,             0.00014851,             0.00014851
                     26,                0.00012,                 0.9895,                      1,                 1.5542,             0.00012495,             0.00012495,             0.00012495
                     27,                 0.0001,                0.99081,                      1,                  1.554,             0.00010139,             0.00010139,             0.00010139
                     28,                  7e-05,                 0.9895,                      1,                 1.5544,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                  8e-05,                 0.9895,                      1,                 1.5543,             5.4264e-05,             5.4264e-05,             5.4264e-05
